TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus,AccumulatedSystemLoad,AccumulatedSystemPowerIn,VirtualTemperature,SystemVoltageIn,SystemCurrentIn,Watts
2026-03-09 10:02:29,5401,76,0,2469,-312,-333,4012,74,-7898,840,154,1065,9752,0,2469,0,0,0
2026-03-09 10:07:32,5577,75,0,2529,-15,-6,4012,72,-7867,1136,153,1064,449574,0,2529,0,0,0
2026-03-09 10:27:30,5867,74,0,2500,-155,-233,3971,70,-7816,1343,156,1064,1181451,0,2489,0,0,0
2026-03-09 10:32:33,5949,73,0,2479,-13,-6,3971,70,-7801,1198,157,1065,1388410,0,2489,0,0,0
2026-03-09 10:37:30,6076,72,0,2429,-324,-374,3912,69,-7778,1460,167,1065,1712803,0,2419,0,0,0
2026-03-09 10:42:30,6252,71,0,2500,-322,-674,3946,68,-7747,1483,174,1067,2155330,0,2500,0,0,0
2026-03-09 10:47:30,6455,69,0,2550,-372,-339,3878,66,-7711,1427,188,1066,2660528,0,2550,0,0,0
2026-03-09 10:52:30,6642,68,0,2550,-265,-291,3873,65,-7678,1386,194,1071,3126563,0,2550,0,0,0
2026-03-09 11:02:30,6848,67,0,2450,-405,-519,3890,63,-7641,1404,206,1059,3644082,0,2450,0,0,0
2026-03-09 11:08:03,6969,66,0,2479,-74,-73,3912,63,-7619,1283,198,1058,3946472,0,2469,0,0,0
2026-03-09 11:12:30,7041,65,0,2419,-326,-263,3898,62,-7607,1334,197,1056,4127633,0,2419,0,0,0
2026-03-09 11:17:31,7222,62,0,2450,-219,-223,3846,60,-7575,1213,183,1059,198744,0,2450,0,0,0
2026-03-09 11:32:30,7635,61,0,2459,-159,-150,3861,58,-7501,1415,144,1058,1220304,0,2459,0,0,0
2026-03-09 11:37:30,7752,60,0,2459,-588,-771,3822,58,-7480,1257,138,1057,1506061,0,2459,0,0,0
2026-03-09 11:42:30,7864,59,0,2439,-606,-930,3855,56,-7460,1342,136,1056,1781296,0,2439,0,0,0
2026-03-09 11:47:30,7975,58,0,2389,-172,-159,3838,56,-7441,1370,135,1061,2054794,0,2389,0,0,0
2026-03-09 11:57:30,8261,56,0,2519,-232,-235,3816,54,-7390,1538,123,1060,2757250,0,2509,0,0,0
2026-03-09 12:07:30,8501,55,0,2419,-471,-439,3827,52,-7347,1334,135,1066,3340025,0,2409,0,0,0
2026-03-09 12:12:30,8720,53,0,2509,-656,-705,3776,50,-7308,1331,144,1070,3868174,0,2500,0,0,0
2026-03-09 12:17:30,8874,52,0,2450,-384,-345,3806,49,-7281,1190,151,1069,4243696,0,2450,0,0,0
2026-03-09 12:22:30,8992,51,0,2439,-536,-279,3765,48,-7260,1228,154,1056,4528402,0,2439,0,0,0
2026-03-09 12:27:30,9102,50,0,2429,-104,-126,3804,48,-7240,1175,158,1057,4797304,0,2429,0,0,0
2026-03-09 12:32:30,9208,49,0,2429,-183,-258,3809,47,-7221,1034,160,1057,5055846,0,2419,0,0,0
2026-03-09 12:37:30,9694,46,0,2429,-191,-193,3792,44,-7199,960,162,1059,5359347,0,2429,0,0,0
2026-03-09 12:42:31,9821,45,0,2350,-181,-171,3796,43,-7180,967,167,1057,5623605,0,2350,0,0,0
2026-03-09 12:47:30,9995,43,0,2419,-103,-97,3792,41,-7159,1034,168,1060,5904196,0,2409,0,0,0
2026-03-09 12:52:30,10050,42,0,2479,-166,-104,3795,41,-7133,985,164,1060,6245469,0,2469,0,0,0
2026-03-09 12:57:30,10096,38,0,2600,-589,-554,3744,41,-7086,1139,158,1067,523401,0,2600,0,0,0
