2024-08-27 15:37:15 status half-installed libcom-err2:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:15 status unpacked libcom-err2:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:15 install libcrypt1:amd64 <none> 1:4.4.36-4build1
2024-08-27 15:37:15 status half-installed libcrypt1:amd64 1:4.4.36-4build1
2024-08-27 15:37:15 status unpacked libcrypt1:amd64 1:4.4.36-4build1
2024-08-27 15:37:15 install libdebconfclient0:amd64 <none> 0.271ubuntu3
2024-08-27 15:37:15 status half-installed libdebconfclient0:amd64 0.271ubuntu3
2024-08-27 15:37:15 status unpacked libdebconfclient0:amd64 0.271ubuntu3
2024-08-27 15:37:15 install libext2fs2t64:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:15 status half-installed libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:15 status unpacked libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:16 install libgcc-s1:amd64 <none> 14-20240412-0ubuntu1
2024-08-27 15:37:16 status half-installed libgcc-s1:amd64 14-20240412-0ubuntu1
2024-08-27 15:37:16 status unpacked libgcc-s1:amd64 14-20240412-0ubuntu1
2024-08-27 15:37:16 install libgcrypt20:amd64 <none> 1.10.3-2build1
2024-08-27 15:37:16 status half-installed libgcrypt20:amd64 1.10.3-2build1
2024-08-27 15:37:16 status unpacked libgcrypt20:amd64 1.10.3-2build1
2024-08-27 15:37:16 install libgmp10:amd64 <none> 2:6.3.0+dfsg-2ubuntu6
2024-08-27 15:37:16 status half-installed libgmp10:amd64 2:6.3.0+dfsg-2ubuntu6
2024-08-27 15:37:16 status unpacked libgmp10:amd64 2:6.3.0+dfsg-2ubuntu6
2024-08-27 15:37:16 install libgpg-error0:amd64 <none> 1.47-3build2
2024-08-27 15:37:16 status half-installed libgpg-error0:amd64 1.47-3build2
2024-08-27 15:37:16 status unpacked libgpg-error0:amd64 1.47-3build2
2024-08-27 15:37:16 install liblz4-1:amd64 <none> 1.9.4-1build1
2024-08-27 15:37:16 status half-installed liblz4-1:amd64 1.9.4-1build1
2024-08-27 15:37:16 status unpacked liblz4-1:amd64 1.9.4-1build1
2024-08-27 15:37:16 install liblzma5:amd64 <none> 5.6.1+really5.4.5-1
2024-08-27 15:37:16 status half-installed liblzma5:amd64 5.6.1+really5.4.5-1
2024-08-27 15:37:16 status unpacked liblzma5:amd64 5.6.1+really5.4.5-1
2024-08-27 15:37:16 install libmd0:amd64 <none> 1.1.0-2build1
2024-08-27 15:37:16 status half-installed libmd0:amd64 1.1.0-2build1
2024-08-27 15:37:16 status unpacked libmd0:amd64 1.1.0-2build1
2024-08-27 15:37:16 install libmount1:amd64 <none> 2.39.3-9ubuntu6
2024-08-27 15:37:16 status half-installed libmount1:amd64 2.39.3-9ubuntu6
2024-08-27 15:37:16 status unpacked libmount1:amd64 2.39.3-9ubuntu6
2024-08-27 15:37:16 install libncursesw6:amd64 <none> 6.4+20240113-1ubuntu2
2024-08-27 15:37:16 status half-installed libncursesw6:amd64 6.4+20240113-1ubuntu2
2024-08-27 15:37:16 status unpacked libncursesw6:amd64 6.4+20240113-1ubuntu2
2024-08-27 15:37:16 install libpam-modules:amd64 <none> 1.5.3-5ubuntu5
2024-08-27 15:37:16 status half-installed libpam-modules:amd64 1.5.3-5ubuntu5
2024-08-27 15:37:16 status unpacked libpam-modules:amd64 1.5.3-5ubuntu5
2024-08-27 15:37:16 install libpam-modules-bin:amd64 <none> 1.5.3-5ubuntu5
2024-08-27 15:37:16 status half-installed libpam-modules-bin:amd64 1.5.3-5ubuntu5
2024-08-27 15:37:16 status unpacked libpam-modules-bin:amd64 1.5.3-5ubuntu5
2024-08-27 15:37:16 install libpam-runtime:all <none> 1.5.3-5ubuntu5
2024-08-27 15:37:16 status half-installed libpam-runtime:all 1.5.3-5ubuntu5
2024-08-27 15:37:16 status unpacked libpam-runtime:all 1.5.3-5ubuntu5
2024-08-27 15:37:16 install libpam0g:amd64 <none> 1.5.3-5ubuntu5
2024-08-27 15:37:16 status half-installed libpam0g:amd64 1.5.3-5ubuntu5
2024-08-27 15:37:16 status unpacked libpam0g:amd64 1.5.3-5ubuntu5
2024-08-27 15:37:16 install libpcre2-8-0:amd64 <none> 10.42-4ubuntu2
2024-08-27 15:37:16 status half-installed libpcre2-8-0:amd64 10.42-4ubuntu2
2024-08-27 15:37:16 status unpacked libpcre2-8-0:amd64 10.42-4ubuntu2
2024-08-27 15:37:16 install libproc2-0:amd64 <none> 2:4.0.4-4ubuntu3
