TimeStamp,ChargingState,InflowState,ChargeLimit,CheckPoint,DecisionMaker,ModeOfOperation
2026-03-08 14:16:01,1,1,100,0,-1,0
2026-03-08 15:00:23,1,1,100,0,-1,0
2026-03-08 17:58:54,1,1,100,0,-1,0
2026-03-08 18:40:40,1,1,100,0,-1,0
2026-03-08 23:34:47,1,1,100,0,-1,0
2026-03-09 05:00:24,1,1,100,0,-1,0
2026-03-09 09:55:35,1,1,100,0,-1,0
2026-03-09 10:07:32,1,1,100,0,-1,0
2026-03-09 11:21:30,1,1,100,0,-1,0
