TimeStamp,WeightedRa,Qmax0,CycleCount,NominalChargeCapacity,TimeAtHighSoc,ChargingVoltage,BHServiceFlags,BHCalibrationFlags,MaxCapacityPercent
2026-03-08 13:24:15,172,2915,1198,2535,1c0100005500000057000000080000000000000065030000870100000c0100001a00000000000000,3750,8388611,0,0
2026-03-09 01:24:17,175,2915,1199,2537,1c0100005500000057000000080000000000000065030000870100000c0100001a00000000000000,4246,1048579,0,77
